???,???,?ID,????,?????,?????
2020-12,???,153,??(???????),"130,652","128,412"
2020-12,???,154,??,"165,864","164,227"
2020-12,???,155,??,"34,010","34,057"
2020-12,???,156,??,"289,569","295,577"
2020-12,???,157,??,"207,882","192,688"
2020-12,???,158,??,"17,215","14,763"
2020-12,???,159,??,"120,938","122,201"
2020-12,???,160,??,"51,287","40,412"
2020-12,???,161,??,"20,209","20,513"
2020-12,???,162,???,"15,789","14,673"
2020-12,???,163,??,"35,842","36,066"
2020-12,???,164,??,"4,465","3,845"
2020-12,???,165,??,"13,835","14,025"
2020-12,???,166,??,"11,035","10,966"
2020-12,???,167,??,"5,797","5,729"
2020-12,???,168,??,"51,186","51,165"
2020-12,???,169,??,"6,316","6,117"
2020-12,???,170,??,"34,168","34,923"
2020-12,???,171,??,891,814
2020-12,???,224,??,"26,749","26,053"
2020-12,???,225,??(????),"42,461","39,336"
2020-12,???,226,??,"60,863","57,214"
2020-12,???,227,??,"21,809","21,086"
2020-12,???,228,????,"79,652","81,583"
2020-12,???,229,??(????),"26,987","25,086"
2020-12,???,173,??,"17,110","20,266"
2020-12,???,174,?????,"61,109","69,462"
2020-12,???,176,???,"43,509","41,050"
2020-12,???,178,??,"112,286","104,915"
2020-12,???,180,??,"51,230","52,350"
2020-12,???,181,??,"35,621","32,862"
2020-12,???,182,??,"63,715","55,920"
2020-12,???,183,??,"159,933","161,505"
2020-12,???,184,??,"79,507","73,345"
2020-12,???,185,??,"11,565","11,989"
2020-12,???,186,??,"136,207","132,149"
2020-12,???,187,??,"111,374","105,939"
2020-12,???,188,??,"189,822","191,275"
2020-12,???,189,??,"155,304","152,784"
2020-12,???,190,??,"126,970","121,746"
2020-12,???,191,??,"128,819","123,149"
2020-12,???,192,??,"93,155","91,130"
2020-12,???,193,??,"135,460","136,489"
2020-12,???,194,??,"43,565","41,686"
2020-12,???,195,??,"26,164","20,346"
2020-12,???,196,??,"105,500","105,307"
2020-12,???,197,???,373,295
2020-12,???,198,???,"78,326","95,593"
2020-12,???,199,??,"71,535","62,749"
2020-12,???,200,????,"32,344","35,227"
2020-12,???,201,????????,"51,539","49,652"
2020-12,???,203,??,2,0
2020-12,???,205,??,"32,548","32,827"
2020-12,???,206,??,"64,657","56,471"
2020-12,???,207,??,"59,476","57,970"
2020-12,???,208,???,"78,846","73,230"
2020-12,???,209,??,"74,001","72,216"
2020-12,???,210,??,"32,915","31,040"
2020-12,???,211,????,"124,642","123,975"
2020-12,???,212,???,"35,968","34,006"
2020-12,???,213,??,"81,690","80,785"
2020-12,???,214,???,"10,471","9,259"
2020-12,???,215,??,"30,276","30,447"
2020-12,???,216,??,"5,534","5,149"
2020-12,???,217,??,"29,734","30,195"
2020-12,???,218,???,"2,194","2,366"
2020-12,???,219,???,"3,075","2,970"
2020-12,???,220,??,"7,989","8,322"
2020-12,???,221,???,"5,237","5,437"
2020-12,???,222,???,"48,607","49,539"
2020-12,???,223,??,"24,644","22,837"
2020-12,???,340,??,"68,993","67,023"
2020-12,???,341,???,"46,691","44,725"
2020-12,???,342,??,"12,370","12,267"
2020-12,???,343,??,"4,214","3,533"
2020-12,???,344,??,"74,123","69,403"
2020-12,???,345,??,"2,081","1,463"
2020-12,???,346,??,"54,355","51,681"
2020-12,???,347,????,"104,903","101,613"
2020-12,???,348,????,"117,801","123,519"
2020-12,???,349,???,"82,666","85,148"
2020-12,???,350,???????,"51,719","57,217"
2020-12,???,351,???,"97,080","99,522"
2020-12,???,352,??,"96,822","95,756"
2020-12,???,353,??,"54,767","50,869"
2020-12,???,354,???,"124,733","116,406"
2020-12,???,355,??,"85,874","80,670"
2020-12,???,356,??,"36,795","36,879"
2020-12,???,357,??,"22,666","36,382"
2020-12,???,238,??,"92,149","87,528"
2020-12,???,239,??,"21,483","18,238"
2020-12,???,240,??,"48,467","45,630"
2020-12,???,241,????,"144,365","140,334"
2020-12,???,242,??,"62,784","61,850"
2020-12,???,243,???,"44,689","44,292"
2020-12,???,244,?????,"24,645","23,598"
2020-12,???,245,??,"50,529","54,025"
2020-12,???,246,??,"40,541","37,725"
2020-12,???,247,?????,"5,564","5,453"
2020-12,???,248,??,"36,920","37,853"
2020-12,5??,385,??,"145,564","139,642"
2020-12,5??,386,???,"114,104","110,859"
2020-12,5??,387,????,"156,231","155,648"
2020-12,5??,388,??,"147,435","140,940"
2020-12,5??,389,??,"192,785","187,700"
2020-12,5??,390,??,"383,575","390,181"
2020-12,5??,391,???,"293,027","295,917"
2020-12,5??,392,??,"624,699","589,230"
2020-12,5??,393,???,"643,010","625,746"
2020-12,5??,394,??(???),"308,814","249,358"
2020-12,5??,395,??,"360,500","396,135"
2020-12,5??,396,???(??????),"468,028","503,869"
2020-12,5??,397,??,"159,956","161,205"
2020-12,5??,398,?????,"86,008","86,638"
2020-12,5??,399,?????,"203,022","210,244"
2020-12,5??,400,??,"84,631","94,327"
2020-12,5??,401,???,"524,456","540,957"
2020-12,5??,402,????,"147,237","149,680"
2020-12,5??,403,??,"291,913","299,999"
2020-12,5??,404,??,"285,406","303,953"
